variant,macro_f1,weighted_f1,accuracy,delta_macro_f1
BFT (full),0.8354049963661709,0.8941859200044879,0.8951652207817526,0.0
- leaf tokens,0.7353807910025485,0.8312902931806043,0.8359976605907008,-0.10002420536362244
- PLR embeddings,0.8334210133590445,0.8946032766588032,0.8960912369626669,-0.001983983007126433
- CB-focal loss,0.833872167214035,0.8934796399541891,0.8935081391948533,-0.0015328291521359283
